MRPL13	GO:0003735
ENPP1	GO:0004528
ERVW-1	GO:0005886
NTSR2	GO:0004930
HNF1A	GO:0003677
CDK20	GO:0004693
ATP6AP1	GO:0015991
PCSK1	GO:0004252
AHSA1	GO:0001671
KIR2DS1	GO:0004888
TACR2	GO:0004995
BACH1	GO:0005654
ABCG4	GO:0005524
VPS26A	GO:0005515
KLK6	GO:0004252
CYP7B1	GO:0005506
OLIG2	GO:0000122
TNFAIP2	GO:0000145
CTDSP2	GO:0016311
RXRA	GO:0000122
NFATC2	GO:0000122
FOLH1	GO:0004180
C7orf72	GO:0003674
CAST	GO:0005737
PLA2G2D	GO:0004623
PDE8B	GO:0004871
HSP90AA1	GO:0005524
PHF12	GO:0008270
THRB	GO:0004887
HTRA1	GO:0004252
AGTR2	GO:0001974
AHR	GO:0000122
LTB4R	GO:0004974
APOF	GO:0005102
GCM1	GO:0000978
APLP1	GO:0008201
AVP	GO:0002125
SP1	GO:0000981
FLNA	GO:0051015
PROS1	GO:0005509
RAB3A	GO:0005525
SERPINC1	GO:0002020
IGFBP2	GO:0005615
GPI	GO:0004347
HSPA5	GO:0001948
THBS4	GO:0005509
C1D	GO:0005634
ADAP1	GO:0005096
NDUFS7	GO:0051536
TMED10	GO:0006810
LMO4	GO:0001158
LEPREL2	GO:0005506
MTG1	GO:0003924
ANGPT4	GO:0001525
MAPT	GO:0005737
SMARCA1	GO:0003677
PRDM2	GO:0003677
LRP1	GO:0001523
JAG1	GO:0005509
YWHAZ	GO:0019904
DCP1B	GO:0000290
F2	GO:0004252
PTMS	GO:0002376
TRAF3	GO:0001817
CDH13	GO:0005509
PPP2CA	GO:0004721
TRAF4	GO:0004842
SLC52A2	GO:0001618
C20orf203	GO:0005737
COASY	GO:0005654
PLK2	GO:0004674
BCL2	GO:0000209
HP	GO:0004252
RGS2	GO:0005096
TPH2	GO:0004510
NUMB	GO:0005515
CIITA	GO:0005524
GRAP2	GO:0005070
CHRM1	GO:0005887
VN1R17P	GO:0005886
HGF	GO:0000187
EDNRA	GO:0001569
MT3	GO:0046872
CNTFR	GO:0001967
EBPL	GO:0016021
CYP2C19	GO:0005506
BMP3	GO:0001501
FOXO3	GO:0000122
SNCG	GO:0002118
HMGCS2	GO:0004421
MADD	GO:0005737
PTPN6	GO:0001784
CASP12	GO:0005737
SERPINA4	GO:0004867
PDE4A	GO:0004114
ADAM17	GO:0004222
TPP1	GO:0004252
SIRT2	GO:0070403
PTGES3	GO:0005978
GSTP1	GO:0004364
DDX19A	GO:0003676
ADAMTS2	GO:0004222
ADIPOR2	GO:0004872
LY6E	GO:0001701
SREBF1	GO:0046983
IL33	GO:0002686
LRRK2	GO:0000149
PKLR	GO:0000287
ZNF292	GO:0003676
NFIA	GO:0000122
CACUL1	GO:0000082
FXYD6	GO:0005216
NPS	GO:0005576
TFAM	GO:0006338
SLC25A37	GO:0006810
STAR	GO:0005739
CCDC134	GO:0005576
SORT1	GO:0001503
ADSL	GO:0003824
PANK2	GO:0004594
IL18R1	GO:0004872
CD44	GO:0005540
OSM	GO:0005125
JUN	GO:0000228
PLCB1	GO:0004435
VWA7	GO:0003674
ZNF224	GO:0003676
ALDH1A2	GO:0001758
CYP2D6	GO:0005506
HNMT	GO:0002347
ALDH7A1	GO:0004029
AGRN	GO:0005509
PI4KB	GO:0004430
DYRK1A	GO:0004712
HMGCS1	GO:0004421
CCND3	GO:0007049
SNX12	GO:0006897
SFPQ	GO:0005654
GRN	GO:0043231
ST13	GO:0005737
EPN1	GO:0001701
SLC6A3	GO:0005328
APOC4	GO:0005319
JUND	GO:0000122
RELN	GO:0000904
MTHFD1L	GO:0004329
PPARGC1B	GO:0000166
IREB2	GO:0005737
TBX3	GO:0003677
PRKRA	GO:0005654
ATCAY	GO:0006915
SHISA2	GO:0005789
CLU	GO:0008219
RAF1	GO:0004674
TOLLIP	GO:0004871
PRKAA2	GO:0004679
MS4A4A	GO:0016021
AR	GO:0003677
NLRP3	GO:0002674
ECSIT	GO:0005654
UBE2I	GO:0005737
MAPK8	GO:0000165
FGF23	GO:0005105
DDX39B	GO:0003676
SELP	GO:0007155
GPR3	GO:0004930
MAPKAPK2	GO:0000165
BIRC3	GO:0043027
HADH	GO:0003857
HMOX2	GO:0004392
CALHM1	GO:0005227
FAM49A	GO:0005622
SLC18A2	GO:0001975
SPRR2A	GO:0001533
OSCAR	GO:0005886
FGF13	GO:0008083
OR10K1	GO:0004888
FKBP1A	GO:0005789
GAPDH	GO:0004365
COG1	GO:0000139
GAA	GO:0004553
HFE	GO:0002474
XBP1	GO:0003700
NACA	GO:0003677
DBH	GO:0001816
ITM2C	GO:0001540
ATM	GO:0000077
THRA	GO:0003700
RENBP	GO:0006044
ADCY10	GO:0000287
ITGAM	GO:0001846
TPH1	GO:0005506
NDUFA2	GO:0005743
MBP	GO:0019911
PON3	GO:0004064
DNMBP	GO:0005089
PECAM1	GO:0002687
CCR2	GO:0001974
FAM63A	GO:0005515
LRPPRC	GO:0005739
CYP2B6	GO:0005506
USF1	GO:0005634
PDC	GO:0001750
PEA15	GO:0000077
OGG1	GO:0003684
HGFAC	GO:0004252
CPT1A	GO:0008152
CYP19A1	GO:0005506
IL13	GO:0002639
DPYSL3	GO:0008152
KIAA0101	GO:0005634
PLCE1	GO:0000139
GRIN2B	GO:0001662
SCG5	GO:0007218
SRA1	GO:0003713
PLA2G1B	GO:0004623
PTGER1	GO:0004957
PRKACA	GO:0004674
CNP	GO:0004113
DCTN4	GO:0005868
GBA	GO:0004348
KAT5	GO:0004402
ZRSR2	GO:0003723
TFB1M	GO:0000179
C4A	GO:0001849
ERVFRD-1	GO:0005886
SREK1	GO:0000166
TRAF1	GO:0005164
RPSA	GO:0000028
NCOA6	GO:0003713
GYPB	GO:0016021
CYP3A4	GO:0005506
JAK2	GO:0000186
SERPINA13P	GO:0004867
RANBP9	GO:0005515
HCLS1	GO:0003779
CD28	GO:0001772
TAF1	GO:0002039
CNTN6	GO:0005886
IL18	GO:0000165
TUBB3	GO:0003924
B4GALT1	GO:0000138
PLG	GO:0005102
HDAC9	GO:0000118
SEPT3	GO:0005525
SLC18A3	GO:0005277
CSPG4	GO:0000187
FKBP4	GO:0005789
NPPB	GO:0005102
GHRH	GO:0005576
PNKD	GO:0004416
APOO	GO:0005615
TYRO3	GO:0004714
NF1	GO:0005096
HK1	GO:0001678
CCR5	GO:0000165
PLAT	GO:0004252
PLB1	GO:0006629
TRAF6	GO:0000122
TCF7L2	GO:0003682
SLC30A3	GO:0008324
NEFL	GO:0005198
FOXL1	GO:0000981
CD40	GO:0001934
OXER1	GO:0004930
MLYCD	GO:0002931
EEF2	GO:0002244
EPOR	GO:0004888
BCL2L11	GO:0001701
FAM58A	GO:0000079
ANXA6	GO:0005509
FSHR	GO:0001545
GNB3	GO:0003924
IDE	GO:0001540
GALP	GO:0005179
TLR4	GO:0000187
ALS2	GO:0005089
ADIPOQ	GO:0001666
TMEM217	GO:0016021
DNM1L	GO:0000266
SYNJ1	GO:0008152
SLC30A1	GO:0001701
MED12	GO:0001104
PPP2R4	GO:0000413
DNAH11	GO:0003341
INS-IGF2	GO:0005179
PPARA	GO:0004879
HIST1H1E	GO:0000786
HLA-DRA	GO:0000139
TIMP1	GO:0002020
TBXAS1	GO:0005506
RTN1	GO:0005789
IL3	GO:0002763
PER1	GO:0004871
MMP1	GO:0004175
C9orf72	GO:0005515
WARS2	GO:0001570
BCHE	GO:0004104
HINT2	GO:0000166
HMBS	GO:0004418
PIN1	GO:0000413
PCSK1N	GO:0002021
CAPN1	GO:0004198
SET	GO:0005634
LRPAP1	GO:0004873
MT1X	GO:0005634
RARB	GO:0003707
CORT	GO:0001664
EP300	GO:0000086
KHDRBS1	GO:0000086
MB	GO:0005344
CX3CL1	GO:0005576
HSD11B1	GO:0016491
MAP1LC3A	GO:0000045
SFTPC	GO:0005576
MS4A4E	GO:0016021
CTSL	GO:0001968
PCNT	GO:0000086
STX1A	GO:0000149
UBA3	GO:0005524
ABCC9	GO:0005524
TPT1	GO:0005737
PDF	GO:0005506
CALB2	GO:0005509
PLA2G2A	GO:0004623
TSPAN9	GO:0016021
CLUH	GO:0005737
DHX16	GO:0004004
KRT6B	GO:0005200
CDCA5	GO:0005654
LCT	GO:0004553
TAT	GO:0004838
CYP2C18	GO:0004497
FGFR2	GO:0005007
ADAMTS3	GO:0004175
PDIK1L	GO:0004674
PEBP1	GO:0004867
ACOT7	GO:0000062
TP53INP2	GO:0010508
CHRNA4	GO:0004889
ACTN1	GO:0051015
FARP1	GO:0005737
CETP	GO:0008289
LMNA	GO:0005198
HLA-A	GO:0002474
PPARG	GO:0003677
LRAT	GO:0001523
NOX3	GO:0001659
ARTN	GO:0005102
APCS	GO:0001849
KCNJ11	GO:0010107
FPR2	GO:0004982
CA9	GO:0004089
WWOX	GO:0005634
GNPDA1	GO:0004342
POLE3	GO:0003887
ATXN3	GO:0006508
RFC1	GO:0003677
MARK2	GO:0004672
CCNI	GO:0051726
MZF1	GO:0003700
ITPKB	GO:0000165
PRCP	GO:0006508
PHACTR2	GO:0003779
GCA	GO:0004198
OTC	GO:0000050
NOTCH4	GO:0000139
FABP4	GO:0001816
TMEM11	GO:0003674
EDNRB	GO:0000122
ADRB3	GO:0001659
CES2	GO:0005615
CREBBP	GO:0003712
GFRA2	GO:0004872
SCYL1	GO:0004672
GUCY2C	GO:0004383
IAPP	GO:0005179
CD33	GO:0004872
PDZD2	GO:0005576
PGBD1	GO:0003700
RPS6KB2	GO:0004711
SERPINF1	GO:0005615
CDH11	GO:0005509
RPS11	GO:0003735
TTBK1	GO:0004674
CKB	GO:0005524
HSPA9	GO:0005524
RBM45	GO:0000166
MUC5AC	GO:0005201
UGCG	GO:0000139
UBD	GO:0005515
UBE2D1	GO:0008152
BHLHE23	GO:0045944
ITPR2	GO:0001666
FLOT1	GO:0001765
ETFB	GO:0009055
CYBB	GO:0002474
PRB1	GO:0003674
GIF	GO:0005576
SLC39A1	GO:0016020
CBL	GO:0001784
HTT	GO:0008134
PRDX2	GO:0016209
APOC3	GO:0005576
CD53	GO:0001772
SLC35A2	GO:0000139
NFKB2	GO:0000122
VCP	GO:0005654
NOS2	GO:0001666
BACE1	GO:0004190
FAT1	GO:0005509
IL2RB	GO:0004911
IFIT3	GO:0003674
NBPF1	GO:0005737
XDH	GO:0001933
CRK	GO:0000186
FHL2	GO:0008270
ECE1	GO:0004222
STMN1	GO:0005737
EFNA3	GO:0005005
NME9	GO:0004550
CD8A	GO:0002456
CASR	GO:0000287
FABP3	GO:0005324
UNG	GO:0004844
IRS1	GO:0002053
CARD8	GO:0005515
SLC35A1	GO:0000139
CXCL12	GO:0001569
LHB	GO:0005179
CNNM1	GO:0005886
ELANE	GO:0000122
NAA16	GO:0005515
GSR	GO:0016491
PLA2G3	GO:0001675
APOD	GO:0005215
HSPB3	GO:0005634
DDIT4	GO:0001666
PAEP	GO:0005576
PPP1R12C	GO:0005515
MT1E	GO:0046872
UBXN4	GO:0005515
HLA-DRB4	GO:0000139
ARPP19	GO:0000086
SERPING1	GO:0010951
LCN1	GO:0001895
GSTM3	GO:0004364
HSP90B2P	GO:0005524
NRF1	GO:0000978
ESR2	GO:0003700
PRDX3	GO:0000302
TACR1	GO:0002118
RRAS	GO:0002521
LDLR	GO:0005509
HIF1AN	GO:0005112
MUT	GO:0004494
FDPS	GO:0008299
BGLAP	GO:0001501
CTNNBL1	GO:0005654
DNM2	GO:0003924
KRT20	GO:0005200
ABCG2	GO:0005215
APP	GO:0007399
SLC1A3	GO:0006835
BHLHB9	GO:0005634
DECR1	GO:0016491
NTSR1	GO:0004930
CA3	GO:0004089
HLA-G	GO:0000139
COMT	GO:0000287
PPIF	GO:0000413
CNTF	GO:0005127
POR	GO:0005829
HOXD13	GO:0001501
PDCD6IP	GO:0000920
PTBP1	GO:0000166
ATG4C	GO:0000422
CD14	GO:0001530
HNF4A	GO:0003707
RBFOX3	GO:0000166
PSEN1	GO:0000139
CBFA2T2	GO:0003700
CDC42EP3	GO:0005096
EIF4EBP1	GO:0000082
SLC1A2	GO:0006835
C2	GO:0004252
MAP1B	GO:0000226
SGPL1	GO:0001553
MYO6	GO:0003774
YWHAQ	GO:0019904
PARD6A	GO:0001726
DKK1	GO:0000122
GLUL	GO:0004356
CCR6	GO:0002407
RPS6KB1	GO:0004711
KDR	GO:0001525
AKR1C2	GO:0016491
SLC50A1	GO:0006310
CSF3	GO:0005125
HHEX	GO:0003677
FKBP2	GO:0000413
DPYSL2	GO:0007010
TRIM31	GO:0005515
POLD1	GO:0000166
CCRL2	GO:0004950
SPAG11A	GO:0005576
LBR	GO:0031965
MLX	GO:0046983
DNAAF3	GO:0005737
DMD	GO:0001954
COX10	GO:0000266
TPI1	GO:0004807
ACTG1	GO:0005524
PTGER2	GO:0004957
C4B	GO:0004866
APOA5	GO:0006695
CD40LG	GO:0005125
UPK3B	GO:0005886
GSN	GO:0003779
PTPN5	GO:0004725
PINK1	GO:0000287
GAB2	GO:0005068
NDOR1	GO:0003958
ABCA12	GO:0005548
MAP2K2	GO:0004672
ADCY2	GO:0000166
HSPH1	GO:0005515
CLVS1	GO:0005768
CEBPD	GO:0000978
APBB3	GO:0001540
ETS2	GO:0005634
CTLA4	GO:0006955
PSMD9	GO:0005634
TP73	GO:0000122
CPE	GO:0004181
CTSD	GO:0004190
KIF6	GO:0003777
ADAMTS9	GO:0004222
NQO1	GO:0005737
PVRL2	GO:0001618
PDE7A	GO:0004115
SLC17A1	GO:0005436
ARMS2	GO:0001895
CR1	GO:0001851
PLD1	GO:0035091
ACTN3	GO:0005509
CTNNA3	GO:0005912
CD46	GO:0001848
DPYS	GO:0008152
WT1	GO:0003676
MMP9	GO:0001501
MT1L	GO:0005634
KALRN	GO:0005089
MAPK14	GO:0000165
IGFBP5	GO:0001558
AGO2	GO:0000340
SLC14A2	GO:0015204
F10	GO:0004252
ACTRT1	GO:0002230
MCPH1	GO:0000132
CASP1	GO:0005737
PSEN2	GO:0000139
CTNND2	GO:0016337
CASP6	GO:0006508
FBXW11	GO:0046983
FXN	GO:0004322
CDK1	GO:0004672
SETD2	GO:0005634
AQP10	GO:0005886
MALRD1	GO:0016020
PADI4	GO:0004668
CASP4	GO:0005737
GTF2H1	GO:0000439
FGF1	GO:0005104
NOS3	GO:0003958
CAPN10	GO:0004198
DAB2IP	GO:0005096
POLB	GO:0003677
PIK3CG	GO:0005622
PPP3R1	GO:0005509
TAOK2	GO:0000186
KCNE3	GO:0008076
PRND	GO:0005886
CALCR	GO:0001669
PPARGC1A	GO:0010822
DAB1	GO:0005515
HCN1	GO:0005222
CORIN	GO:0004252
RORA	GO:0003707
RRP1	GO:0006364
PENK	GO:0001515
AMIGO2	GO:0005515
CCL4	GO:0005125
PTGDS	GO:0005215
TNFSF11	GO:0001503
NFIX	GO:0003677
UCP3	GO:0006839
BID	GO:0005737
SLC30A4	GO:0005385
SLC30A6	GO:0005794
ACHE	GO:0004104
POTEF	GO:0001895
CEBPZ	GO:0000978
NDUFB3	GO:0005747
CNR2	GO:0001975
XRCC1	GO:0000012
CRYZ	GO:0005737
PTGER3	GO:0004957
MAT2A	GO:0004478
BSG	GO:0016020
HAP1	GO:0005515
CCDC22	GO:0005515
ACTBL2	GO:0003674
DSG1	GO:0005509
SMUG1	GO:0005654
HMGB1	GO:0000122
CTSS	GO:0001968
ESR1	GO:0003700
PRKAB1	GO:0007165
APBB1	GO:0008134
BRI3	GO:0016021
FBXL2	GO:0005515
LRRTM3	GO:0016021
FA2H	GO:0005783
MEOX2	GO:0000978
CDKN3	GO:0004725
APPL1	GO:0005515
CCL8	GO:0004672
LGR6	GO:0004888
AGTR1	GO:0004945
DNAI1	GO:0003351
RMDN1	GO:0005813
HRH3	GO:0001505
SEC14L2	GO:0006810
APOB	GO:0005319
COL1A1	GO:0001501
DAPK2	GO:0004683
NCSTN	GO:0016021
SLC25A20	GO:0005737
PCP4	GO:0005516
SDC2	GO:0009986
HSPA4	GO:0005524
CTSK	GO:0001957
UCHL1	GO:0004843
COL18A1	GO:0005198
DCTN5	GO:0000777
PRNP	GO:0005886
LPL	GO:0004465
FLVCR1	GO:0016021
POLDIP2	GO:0003677
CHAT	GO:0004102
CAV1	GO:0000139
SH3BP5	GO:0017124
COL25A1	GO:0001540
BLMH	GO:0004197
ARHGEF5	GO:0005089
RBP4	GO:0005215
SLC28A1	GO:0001882
SRSF3	GO:0000166
ABCG1	GO:0005524
NFKB1	GO:0003682
NAE1	GO:0005634
KLC1	GO:0003777
HLA-DQA1	GO:0002504
SH3PXD2A	GO:0035091
PTGES2	GO:0000139
DLD	GO:0004148
APBA2	GO:0001540
STIP1	GO:0005515
PTGER4	GO:0004957
VSNL1	GO:0005509
LRP6	GO:0001843
NR1I2	GO:0003707
STXBP1	GO:0005623
NEUROG2	GO:0001764
ALOX12	GO:0005506
FZD4	GO:0001570
LCAT	GO:0006629
MARK4	GO:0004672
ZSCAN1	GO:0000981
ATF4	GO:0000978
TRADD	GO:0004871
TNK1	GO:0007169
RTN4	GO:0007409
MAS1	GO:0001595
ARSA	GO:0008152
DDIT3	GO:0003700
PTPRC	GO:0004725
DCHS2	GO:0005509
SALL1	GO:0003676
CBX4	GO:0005634
ETFA	GO:0005739
SDS	GO:0004794
SFXN1	GO:0015075
VIM	GO:0005198
NPY	GO:0004930
COG2	GO:0007030
WWC1	GO:0000122
DISC1	GO:0043565
NTS	GO:0005184
TREM2	GO:0001530
RPS6	GO:0003735
BAG1	GO:0051087
CALHM3	GO:0005261
HNRNPA2B1	GO:0000166
CRH	GO:0001934
PLAU	GO:0004252
NANOS2	GO:0000932
MAPK3	GO:0000165
TGFB3	GO:0000187
MEFV	GO:0003779
MFI2	GO:0005506
P2RY12	GO:0001609
CASZ1	GO:0046872
RPS23	GO:0003735
GSTO2	GO:0004364
IRS4	GO:0004871
ADAMTS10	GO:0004222
ABCD1	GO:0005524
NME2	GO:0004550
DDR1	GO:0005524
SLC44A5	GO:0016021
NOC3L	GO:0003682
NDUFA5	GO:0005743
KCNK12	GO:0005244
NT5C1A	GO:0000166
DRD3	GO:0004952
DCX	GO:0004683
S100A4	GO:0001837
AGRP	GO:0005102
ABCB1	GO:0055085
TBX5	GO:0000977
BMP7	GO:0005125
SOCS1	GO:0001932
STX8	GO:0005484
LCN2	GO:0005215
PIK3R2	GO:0005942
ACAT1	GO:0008152
NOVA2	GO:0003723
CST3	GO:0001540
MMEL1	GO:0004222
PPIL1	GO:0000398
PAX2	GO:0003677
ASAH1	GO:0003824
ELAVL2	GO:0000166
BCL3	GO:0000060
SEC14L3	GO:0006810
IL2	GO:0001933
CREB1	GO:0003700
CSRP1	GO:0008270
PYY	GO:0001664
TNFRSF1B	GO:0005031
TSPY4	GO:0005634
IPO9	GO:0005515
REST	GO:0000981
PCYT1A	GO:0003824
ACAD8	GO:0016627
POTEKP	GO:0002576
RCAN1	GO:0005737
HADHA	GO:0003857
A2M	GO:0004866
NGFR	GO:0004871
PISD	GO:0004609
POSTN	GO:0005578
NCF1	GO:0035091
GRPR	GO:0004946
NTRK2	GO:0001570
BIN1	GO:0005515
CCNB1	GO:0005737
ADRBK1	GO:0004703
DSTN	GO:0003779
LRRC15	GO:0001968
RARG	GO:0005654
MAT1A	GO:0004478
CDK18	GO:0004672
DHCR24	GO:0005737
CXCR2	GO:0006935
HSPD1	GO:0005524
GGA3	GO:0005802
IGFBP3	GO:0001558
APBA3	GO:0001540
SIGMAR1	GO:0006869
MTHFR	GO:0005829
PLD3	GO:0003824
GDF15	GO:0005160
RASGRF1	GO:0005085
MTX1	GO:0005741
RPL17	GO:0003735
CDC42EP1	GO:0005096
CCR3	GO:0001938
IL32	GO:0005515
NCF2	GO:0001669
UBTF	GO:0003682
PHACTR3	GO:0003779
NFKBIL1	GO:0005622
LCE3B	GO:0031424
C6orf15	GO:0001968
ZNF311	GO:0003677
BRAF	GO:0004672
TAF1C	GO:0000183
CD160	GO:0016021
XCL1	GO:0001916
CEP72	GO:0000086
KLRC2	GO:0002228
PYCARD	GO:0001773
CECR1	GO:0005615
SH3BP4	GO:0005092
IFNB1	GO:0002250
CYSLTR2	GO:0001631
TNFRSF25	GO:0004872
ARNTL	GO:0003700
PIP	GO:0001580
FHL1	GO:0003254
SOD3	GO:0005507
CXCR5	GO:0004930
ASIP	GO:0005102
IFI35	GO:0005515
ISG20	GO:0003676
CLEC16A	GO:0005765
NOD2	GO:0042981
ARHGEF3	GO:0005089
CYP2R1	GO:0005506
LECT2	GO:0001501
PRSS2	GO:0004252
EGF	GO:0000186
PRKCQ	GO:0004697
LCE3C	GO:0008544
CD274	GO:0005515
PKD1	GO:0005262
MAF	GO:0003700
SALL3	GO:0003676
IKBKB	GO:0004672
MRPL17	GO:0000002
SPA17	GO:0003351
PDCD1LG2	GO:0003674
MSH5	GO:0000228
TRGC1	GO:0016021
MMP12	GO:0004175
CLIP2	GO:0005875
DEFA3	GO:0002227
RETN	GO:0005179
HLA-DMA	GO:0002474
EZH2	GO:0018024
KLRB1	GO:0004888
ST3GAL5	GO:0000139
VPRBP	GO:0000122
CLEC4A	GO:0002223
MMP11	GO:0004222
SIAE	GO:0001681
IFNA1	GO:0002250
HSH2D	GO:0002903
FCAR	GO:0005576
RNF128	GO:0004842
IBSP	GO:0001649
ADM	GO:0005179
ATP6V1G1	GO:0005515
GLB1	GO:0004553
SPATA2	GO:0003674
CD70	GO:0002020
MMP15	GO:0004222
KLF12	GO:0003676
GDF5	GO:0002062
CIAO1	GO:0005515
NAT8	GO:0004468
TFR2	GO:0001948
CCNG2	GO:0051726
CXCL13	GO:0002467
RUNX1	GO:0030182
LILRA1	GO:0002376
TLR7	GO:0000139
SCGB1A1	GO:0007165
MMP14	GO:0004222
IL16	GO:0005125
DLK1	GO:0003674
AQPEP	GO:0006508
STAT5B	GO:0003700
CCL22	GO:0005576
HBB	GO:0005344
IFNK	GO:0002250
SPAM1	GO:0004415
MIA	GO:0005615
FCRLA	GO:0005576
GDAP1	GO:0000266
TRPC5	GO:0005262
PFKL	GO:0003872
PML	GO:0005622
RPAIN	GO:0005634
WFDC1	GO:0003674
BRS3	GO:0004946
CR2	GO:0001848
DLAT	GO:0004742
EMD	GO:0000278
PSMA4	GO:0004175
NRP1	GO:0001525
HEXA	GO:0004563
SH2D2A	GO:0001525
NPSR1	GO:0005000
B3GNT2	GO:0000139
DLL1	GO:0001709
CCL18	GO:0005515
FCGR2A	GO:0005515
CD3E	GO:0004888
IGKV1-5	GO:0003823
WISP3	GO:0001558
KIR2DS2	GO:0004888
TAF1B	GO:0000183
STAT1	GO:0003700
BTK	GO:0002224
OR6F1	GO:0004930
DEDD	GO:0042981
C6orf10	GO:0005634
CYLD	GO:0070266
FCGR2B	GO:0005515
GCH1	GO:0003934
JAK1	GO:0004713
CXCL9	GO:0002690
HLA-DPB1	GO:0002504
HOXD11	GO:0005634
TSPAN33	GO:0005886
TYMP	GO:0004645
CCL20	GO:0005515
LAIR2	GO:0005515
IL9R	GO:0004919
GJB2	GO:0005243
DNMT3B	GO:0000122
IL4I1	GO:0016491
PRRC2A	GO:0005515
PRF1	GO:0001771
SLC25A1	GO:0006810
N4BP1	GO:0005515
A1CF	GO:0000166
FCRL3	GO:0005886
UBASH3A	GO:0001817
PHRF1	GO:0008270
IL17B	GO:0005125
MYO3A	GO:0003774
IL27	GO:0005102
AIMP1	GO:0005829
HLA-DRB5	GO:0000139
SMG1	GO:0000724
CLEC10A	GO:0005886
MMP8	GO:0004222
PVRL1	GO:0001618
KLRD1	GO:0002228
CD63	GO:0016021
ZNF774	GO:0003677
LSM4	GO:0000288
OR2T5	GO:0004930
GRK6	GO:0038032
HCCS	GO:0004408
HARS	GO:0004821
PPAT	GO:0008152
SLC3A2	GO:0003824
DPH6	GO:0005524
ROPN1L	GO:0001932
CD226	GO:0001816
GGH	GO:0005615
PPT2	GO:0005764
IL17D	GO:0005125
ICOSLG	GO:0016021
SOCS3	GO:0005737
CD83	GO:0005886
CD5	GO:0005044
MUC1	GO:0001666
MITF	GO:0005634
OR6K6	GO:0004888
CLIP1	GO:0003676
EFEMP2	GO:0005509
TPSAB1	GO:0004252
TSC1	GO:0005737
TADA1	GO:0003713
MDK	GO:0008083
ELSPBP1	GO:0005576
SLC22A1	GO:0005277
DUSP5	GO:0000188
ADAMTS13	GO:0004222
SULT2A1	GO:0005515
TRPS1	GO:0003700
PAM	GO:0004504
NAT10	GO:0008080
PDE2A	GO:0004114
MSH6	GO:0000228
PHF19	GO:0000122
ARRB1	GO:0007165
LILRB1	GO:0001915
FCGR2C	GO:0004888
FADS2	GO:0006629
MAP3K1	GO:0000186
TNFSF12	GO:0001525
EXOC4	GO:0000145
SAT1	GO:0008080
OR2T33	GO:0004930
NFATC1	GO:0003700
STAT6	GO:0003700
IL17C	GO:0005125
TIPARP	GO:0003950
VIPR1	GO:0004999
FCGR3B	GO:0002230
IVNS1ABP	GO:0015629
BPNT1	GO:0046854
IL17A	GO:0005125
DDR2	GO:0005887
LTB4R2	GO:0004974
ANP32B	GO:0001944
IL22	GO:0005125
MAPK9	GO:0000165
TGFBR1	GO:0001938
DLG5	GO:0005515
TNFRSF10B	GO:0004872
BCL2L1	GO:0000910
IRF8	GO:0000975
HPSE	GO:0008152
HARS2	GO:0004821
TRPC1	GO:0005262
BPI	GO:0001530
EXOC5	GO:0005737
CD22	GO:0016021
IL21R	GO:0001532
CALCRL	GO:0004930
FAP	GO:0004252
BTG3	GO:0005515
RAPH1	GO:0007165
BEST1	GO:0005254
REG1A	GO:0008083
CASP10	GO:0005737
C18orf8	GO:0005765
AFP	GO:0005615
RAMP2	GO:0005622
ADAD1	GO:0003723
AURKA	GO:0000212
ADAMTS7	GO:0004222
TLR5	GO:0002224
DUSP1	GO:0000188
PTX3	GO:0001849
FIGF	GO:0001525
LGALS2	GO:0005515
SUMO4	GO:0005634
POU3F1	GO:0001105
HAS1	GO:0030213
TPD52	GO:0005509
SFTPD	GO:0001817
PAX5	GO:0003677
FLG	GO:0005198
EBF4	GO:0003677
ITGA4	GO:0007155
TAP1	GO:0002474
HSP90B1	GO:0005524
TXK	GO:0002250
SKIV2L2	GO:0005524
JAM3	GO:0001525
TNFRSF8	GO:0004888
AMPD1	GO:0003876
FOXC1	GO:0000977
IKZF3	GO:0003676
BIRC5	GO:0004842
TRIM21	GO:0000209
KIR3DL1	GO:0005886
TERT	GO:0000049
TNFSF13B	GO:0001782
GALNT18	GO:0000139
CISH	GO:0001558
STAT5A	GO:0003700
SARDH	GO:0016491
IRAK1	GO:0004674
TNFSF14	GO:0005102
STS	GO:0004773
PRKCZ	GO:0004672
ZCCHC2	GO:0035091
ITCH	GO:0001558
KLRK1	GO:0004872
CD3D	GO:0004888
ANAPC4	GO:0005680
SLAMF7	GO:0004872
CYR61	GO:0001558
ASPN	GO:0005509
ASPM	GO:0007051
NCOA5	GO:0003682
ICOS	GO:0002517
ORMDL3	GO:0005789
ZFYVE9	GO:0005515
TLR8	GO:0000139
TIRAP	GO:0002224
NRM	GO:0003674
ADAM15	GO:0001525
TLR3	GO:0002756
FCGR1A	GO:0002474
AMH	GO:0001546
IL21	GO:0001819
TADA2A	GO:0003677
ITGAL	GO:0007229
SDC3	GO:0009986
LGALS1	GO:0001948
IL17RA	GO:0005515
IKBKE	GO:0004672
KTN1	GO:0007018
LGALS9	GO:0030246
HESX1	GO:0003677
LILRB2	GO:0002578
ALPP	GO:0000287
GIN1	GO:0003676
TNFRSF18	GO:0005887
CNR1	GO:0004949
SLC22A4	GO:0000166
IL5	GO:0005137
C1QTNF6	GO:0005515
IL34	GO:0001934
MAP2K4	GO:0005622
TNP1	GO:0000012
SHMT1	GO:0004372
